year,month,day,hour,Longitude,Latitude
2022,1,7,12,-122.328845,47.613494
2022,1,7,13,-122.328845,47.613494
2022,1,6,8,-122.330242,47.629234
2022,1,30,6,-122.330242,47.629234
2022,1,28,7,-122.325288,47.618896
2022,1,6,8,-122.295478,47.623956
2022,1,31,4,-122.373603,47.660753
2022,1,21,19,-122.347264,47.632303
2022,1,10,18,-122.290438,47.68159
2022,1,17,12,-122.347984,47.724682
2022,1,15,20,-122.281293,47.537042
2022,1,21,16,-122.342181,47.540353
2022,1,20,17,-122.342181,47.540353
2022,1,1,15,-122.394773,47.569897
2022,1,12,1,-122.322322,47.524821
2022,1,2,0,-122.359203,47.631378
2022,1,25,10,-122.359203,47.631378
2022,1,24,11,-122.266173,47.672929
2022,1,19,13,-122.329436,47.60229
2022,1,11,10,-122.360643,47.622707
2022,1,7,11,-122.330113,47.601647
2022,1,13,3,-122.351455,47.707132
2022,1,31,10,-122.336507,47.615789
2022,1,12,22,-122.336507,47.615789
2022,1,10,19,-122.336507,47.615789
2022,1,3,3,-122.336507,47.615789
2022,1,30,16,-122.336507,47.615789
2022,1,23,23,-122.336507,47.615789
2022,1,15,16,-122.336507,47.615789
2022,1,18,17,-122.336507,47.615789
2022,1,21,8,-122.336507,47.615789
2022,1,26,14,-122.336507,47.615789
2022,1,2,16,-122.392484,47.548563
2022,1,14,12,-122.325793,47.598353
2022,1,26,18,-122.325793,47.598353
2022,1,18,21,-122.325793,47.598353
2022,1,10,3,-122.325793,47.598353
2022,1,2,20,-122.325793,47.598353
2022,1,26,3,-122.325793,47.598353
2022,1,4,4,-122.325793,47.598353
2022,1,8,18,-122.29522,47.563567
2022,1,24,20,-122.284506,47.537037
2022,1,4,9,-122.284506,47.537037
2022,1,1,19,-122.284506,47.537037
2022,1,24,13,-122.284506,47.537037
2022,1,23,15,-122.301571,47.554581
2022,1,25,14,-122.301571,47.554581
2022,1,11,15,-122.400995,47.639859
2022,1,5,15,-122.400995,47.639859
2022,1,6,17,-122.287386,47.565398
2022,1,29,11,-122.344889,47.716786
2022,1,9,6,-122.344889,47.716786
2022,1,15,12,-122.344889,47.716786
2022,1,9,10,-122.344889,47.716786
2022,1,15,7,-122.344889,47.716786
2022,1,7,5,-122.355517,47.714451
2022,1,3,17,-122.371142,47.667157
2022,1,25,15,-122.386767,47.570182
2022,1,25,21,-122.386767,47.570182
2022,1,6,14,-122.386767,47.569922
2022,1,1,22,-122.349757,47.616467
2022,1,6,11,-122.35052,47.615877
2022,1,1,4,-122.35052,47.615877
2022,1,10,17,-122.35052,47.615877
2022,1,17,12,-122.35052,47.615877
2022,1,29,6,-122.35052,47.615877
2022,1,5,21,-122.35052,47.615877
2022,1,2,21,-122.35052,47.615877
2022,1,4,5,-122.35052,47.615877
2022,1,21,16,-122.355431,47.621329
2022,1,1,0,-122.355431,47.621329
2022,1,28,16,-122.355431,47.621329
2022,1,22,17,-122.355431,47.621329
2022,1,23,18,-122.355431,47.621329
2022,1,26,18,-122.355431,47.621329
2022,1,27,16,-122.355431,47.621329
2022,1,28,12,-122.398115,47.664231
2022,1,28,4,-122.366779,47.673808
2022,1,9,17,-122.311479,47.611553
2022,1,13,8,-122.300722,47.625931
2022,1,13,21,-122.322064,47.67879
2022,1,3,16,-122.296531,47.732881
2022,1,10,21,-122.296531,47.732881
2022,1,27,12,-122.390281,47.670189
2022,1,5,14,-122.384478,47.54275
2022,1,12,19,-122.312704,47.730595
2022,1,21,14,-122.297842,47.606394
2022,1,30,21,-122.329049,47.592394
2022,1,12,10,-122.371647,47.636293
2022,1,25,11,-122.33684,47.608775
2022,1,9,18,-122.289922,47.571582
2022,1,23,21,-122.284968,47.677967
2022,1,18,14,-122.280648,47.55341
2022,1,3,17,-122.317615,47.698767
2022,1,31,10,-122.30271,47.612941
2022,1,20,22,-122.30271,47.612941
2022,1,11,22,-122.39646,47.540701
2022,1,22,15,-122.286279,47.683107
2022,1,9,19,-122.328963,47.600875
2022,1,28,7,-122.328963,47.600875
2022,1,10,7,-122.382275,47.665626
2022,1,2,16,-122.36089,47.690626
2022,1,15,3,-122.372281,47.650681
2022,1,22,23,-122.382952,47.645136
2022,1,9,9,-122.299873,47.620978
2022,1,5,20,-122.313166,47.659884
2022,1,5,17,-122.313166,47.659884
2022,1,6,19,-122.282636,47.617607
2022,1,3,12,-122.299024,47.586873
2022,1,12,1,-122.299024,47.584234
2022,1,3,10,-122.299024,47.584234
2022,1,31,16,-122.299024,47.584234
2022,1,5,2,-122.299024,47.584234
2022,1,27,21,-122.299024,47.584234
2022,1,2,19,-122.299024,47.584234
